to_region,avg_days_to_popular
Norway,0.0
Austria,0.0
Switzerland,1.380952380952381
Belgium,2.6363636363636362
Morocco,14.125
Poland,16.0
Finland,26.0
Costa Rica,197.0
Israel,377.5
Portugal,750.0
